point_of_interest, video, video_time
F20, sfo_videoroute_F_reverse, 0:00
F21, sfo_videoroute_F_reverse, 0:00
F19, sfo_videoroute_F_reverse, 0:00
F18, sfo_videoroute_F_reverse, 0:01
F17, sfo_videoroute_F_reverse, 0:08
F16, sfo_videoroute_F_reverse, 1:21
F15, sfo_videoroute_F_reverse, 1:21
F14, sfo_videoroute_F_reverse, 2:34
F13, sfo_videoroute_F_reverse, 2:44
F12, sfo_videoroute_F_reverse, 3:53
F11, sfo_videoroute_F_reverse, 4:04
E2, sfo_videoroute_F_reverse, 8:35
E3, sfo_videoroute_F_reverse, 8:51
Terminal_3_baggage, sfo_videoroute_F_reverse, 10:04
Terminal_3_Ride_Share, sfo_videoroute_F_reverse, 12:39
Terminal_1_security, sfo_videoroute_C_foward, 0:00
C1, sfo_videoroute_C_foward, 1:28
C2, sfo_videoroute_C_foward, 3:23
C3, sfo_videoroute_C_foward, 3:33
C4, sfo_videoroute_C_foward, 3:49
C5, sfo_videoroute_C_foward, 3:49
C6, sfo_videoroute_C_foward, 4:37
C7, sfo_videoroute_C_foward, 4:37
C8, sfo_videoroute_C_foward, 4:47
C9, sfo_videoroute_C_foward, 4:47
C10, sfo_videoroute_C_foward, 4:54
C11, sfo_videoroute_C_foward, 4:54
C11, sfo_videoroute_C_backward, 0:00
C10, sfo_videoroute_C_backward, 0:00
C9, sfo_videoroute_C_backward, 0:05
C8, sfo_videoroute_C_backward, 0:05
C7, sfo_videoroute_C_backward, 0:16
C6, sfo_videoroute_C_backward, 0:16
C5, sfo_videoroute_C_backward, 1:03
C4, sfo_videoroute_C_backward, 1:03
C3, sfo_videoroute_C_backward, 1:19
C2, sfo_videoroute_C_backward, 1:27
C_terminal_exit, sfo_videoroute_C_backward, 1:56
Terminal_2_security, sfo_videoroute_D_forward, 0:00
D1, sfo_videoroute_D_forward, 4:35
D2, sfo_videoroute_D_forward, 4:35
D3, sfo_videoroute_D_forward, 4:35
D4, sfo_videoroute_D_forward, 4:55
D5, sfo_videoroute_D_forward, 5:18
D6, sfo_videoroute_D_forward, 5:22
D7, sfo_videoroute_D_forward, 5:28
D8, sfo_videoroute_D_forward, 5:49
D9, sfo_videoroute_D_forward, 6:11
D10, sfo_videoroute_D_forward, 6:42
D11, sfo_videoroute_D_forward, 7:00 
D12, sfo_videoroute_D_forward, 7:09
D14, sfo_videoroute_D_forward, 7:11
D15, sfo_videoroute_D_forward, 7:31
D16, sfo_videoroute_D_forward, 7:56
D17, sfo_videoroute_D_forward, 7:56
D18, sfo_videoroute_D_forward, 7:56 
Terminal_2_square, sfo_videoroute_E_forward, 0:00
E4, sfo_videoroute_E_forward, 3:00
E5, sfo_videoroute_E_forward, 3:08
E6, sfo_videoroute_E_forward, 3:26
E7, sfo_videoroute_E_forward, 3:54
E8, sfo_videoroute_E_forward, 4:06
E9, sfo_videoroute_E_forward, 4:15
E10, sfo_videoroute_E_forward, 4:19
E11, sfo_videoroute_E_forward, 4:19
E12, sfo_videoroute_E_forward, 4:36
E13, sfo_videoroute_E_forward, 4:41
E13, sfo_videoroute_E_to_F, 0:00
E12, sfo_videoroute_E_to_F, 0:00
E11, sfo_videoroute_E_to_F, 0:00
E10, sfo_videoroute_E_to_F, 0:00
E9, sfo_videoroute_E_to_F, 0:00
E8, sfo_videoroute_E_to_F, 0:00
E7, sfo_videoroute_E_to_F, 0:03
E6, sfo_videoroute_E_to_F, 0:34
E5, sfo_videoroute_E_to_F, 1:00
E4, sfo_videoroute_E_to_F, 1:13
E3, sfo_videoroute_E_to_F, 2:20
E2, sfo_videoroute_E_to_F, 2:36
E1, sfo_videoroute_E_to_F, 3:02
F11, sfo_videoroute_E_to_F, 6:28
F12, sfo_videoroute_E_to_F, 6:35
F13, sfo_videoroute_E_to_F, 7:03
F14, sfo_videoroute_E_to_F, 7:08
F15, sfo_videoroute_E_to_F, 8:00
F16, sfo_videoroute_E_to_F, 8:00
F17, sfo_videoroute_E_to_F, 8:28
F18, sfo_videoroute_E_to_F, 8:30
F19, sfo_videoroute_E_to_F, 8:51
F20, sfo_videoroute_E_to_F, 8:51
F21, sfo_videoroute_E_to_F, 8:51
F22, sfo_videoroute_E_to_F, 8:51
Terminal_1_security, sfo_videoroute_B_forward, 0:00
B3, sfo_videoroute_B_forward, 1:35
B4, sfo_videoroute_B_forward, 1:35
B5, sfo_videoroute_B_forward, 1:35
B6, sfo_videoroute_B_forward, 2:24
B7, sfo_videoroute_B_forward, 2:35
B8, sfo_videoroute_B_forward, 2:35
B9, sfo_videoroute_B_forward, 3:18
B10, sfo_videoroute_B_forward, 3:44
B11, sfo_videoroute_B_forward, 3:44
B12, sfo_videoroute_B_forward, 3:52
B13, sfo_videoroute_B_forward, 4:15
B14, sfo_videoroute_B_forward, 4:59
B15, sfo_videoroute_B_forward, 4:59
B16, sfo_videoroute_B_forward, 4:59
B17, sfo_videoroute_B_forward, 5:35
B18, sfo_videoroute_B_forward, 5:59
B19, sfo_videoroute_B_forward, 5:59
B20, sfo_videoroute_B_forward, 5:59
B21, sfo_videoroute_B_forward, 6:39
B22, sfo_videoroute_B_forward, 6:41
B23, sfo_videoroute_B_forward, 6:41
B24, sfo_videoroute_B_forward, 6:41
B25, sfo_videoroute_B_forward, 6:41
B26, sfo_videoroute_B_forward, 6:41
B27, sfo_videoroute_B_forward, 6:41
